@RELATION move
@ATTRIBUTE spx  NUMERIC
@ATTRIBUTE spy NUMERIC
@ATTRIBUTE lrps NUMERIC
@ATTRIBUTE rrps NUMERIC
@ATTRIBUTE svx NUMERIC
@ATTRIBUTE svy NUMERIC
@ATTRIBUTE sav NUMERIC
@ATTRIBUTE bpx NUMERIC
@ATTRIBUTE bpy NUMERIC
@ATTRIBUTE ba NUMERIC
@ATTRIBUTE bvx NUMERIC
@ATTRIBUTE bvy NUMERIC
@ATTRIBUTE bpxp NUMERIC
@DATA
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000838,0.000000,0.209455,0.209455,0.000838,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.002457,0.000000,0.404895,0.404895,0.001620,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.004806,0.000000,0.587258,0.587258,0.002349,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.007836,0.000000,0.757420,0.757420,0.003030,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.011501,0.000000,0.916196,0.916196,0.003665,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.015758,0.000000,1.064349,1.064349,0.004257,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.020569,0.000000,1.202589,1.202589,0.004810,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.025895,0.000000,1.331579,1.331579,0.005326,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.031703,0.000000,1.451939,1.451939,0.005808,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.037960,0.000000,1.564246,1.564246,0.006257,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.044636,0.000000,1.669038,1.669038,0.006676,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.051703,0.000000,1.766819,1.766819,0.007067,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.059135,0.000000,1.858057,1.858057,0.007432,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.066908,0.000000,1.943191,1.943191,0.007773,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.074999,0.000000,2.022628,2.022628,0.008091,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.083386,0.000000,2.096750,2.096750,0.008387,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.092049,0.000000,2.165913,2.165913,0.008664,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.100971,0.000000,2.230448,2.230448,0.008922,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.110134,0.000000,2.290666,2.290666,0.009163,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.119521,0.000000,2.346854,2.346854,0.009387,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.129118,0.000000,2.399283,2.399283,0.009597,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.138911,0.000000,2.448203,2.448203,0.009793,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.148886,0.000000,2.493851,2.493851,0.009975,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.159032,0.000000,2.536444,2.536444,0.010146,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.169337,0.000000,2.576187,2.576187,0.010305,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.179790,0.000000,2.613272,2.613272,0.010453,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.190382,0.000000,2.647875,2.647875,0.010591,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.201102,0.000000,2.680162,2.680162,0.010721,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.211943,0.000000,2.710290,2.710290,0.010841,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.222897,0.000000,2.738401,2.738401,0.010954,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.233956,0.000000,2.764632,2.764632,0.011059,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
